team_id,lineup_pos,name,team,position,bye_week,fantasy_points,projected_fantasy_points
1,QB,Patrick Mahomes,KC,QB,6,16.14,21.03
1,WR,Brandon Aiyuk,SF,WR,9,–,12.19
1,WR,Tee Higgins,Cin,WR,12,0.00,0.00
1,RB,Bijan Robinson,Atl,RB,12,16.10,16.31
1,RB,Isiah Pacheco,KC,RB,6,15.80,14.34
1,TE,George Kittle,SF,TE,9,–,11.48
1,W/R/T,Brian Robinson Jr.,Was,RB,14,17.90,9.55
1,BN,Courtland Sutton,Den,WR,14,7.80,10.13
1,BN,DeAndre Hopkins,Ten,WR,5,1.80,10.23
1,BN,Chase Brown,Cin,RB,12,5.30,9.33
1,BN,Justin Herbert,LAC,QB,5,10.36,16.49
1,BN,Brandin Cooks,Dal,WR,7,14.50,9.07
1,BN,Luke Musgrave,GB,TE,10,0.00,6.35
1,K,Tyler Bass,Buf,K,12,10.00,8.71
1,DEF,Houston,Hou,DEF,14,4.00,6.20
2,QB,Lamar Jackson,Bal,QB,14,25.12,20.32
2,WR,Mike Evans,TB,WR,11,23.10,13.44
2,WR,DeVonta Smith,Phi,WR,5,15.40,13.88
2,RB,Breece Hall,NYJ,RB,12,–,16.25
2,RB,Najee Harris,Pit,RB,9,8.90,10.23
2,TE,Jake Ferguson,Dal,TE,7,4.50,10.73
2,W/R/T,Tank Dell,Hou,WR,14,8.90,13.15
2,BN,Rome Odunze,Chi,WR,7,2.10,10.87
2,BN,Caleb Williams,Chi,QB,7,7.22,18.52
2,BN,Trey Benson,Ari,RB,11,2.80,4.60
2,BN,Jakobi Meyers,LV,WR,10,9.40,9.76
2,BN,Jerry Jeudy,Cle,WR,10,11.50,9.98
2,BN,Wan'Dale Robinson,NYG,WR,11,11.80,10.00
2,K,Younghoe Koo,Atl,K,12,4.00,8.78
2,DEF,New York,NYJ,DEF,12,–,5.66
3,QB,Dak Prescott,Dal,QB,7,11.46,17.95
3,WR,CeeDee Lamb,Dal,WR,7,13.60,17.97
3,WR,Davante Adams,LV,WR,10,10.90,14.26
3,RB,Josh Jacobs,GB,RB,10,12.40,15.17
3,RB,David Montgomery,Det,RB,5,–,11.80
3,TE,Kyle Pitts,Atl,TE,12,11.60,11.52
3,W/R/T,Stefon Diggs,Hou,WR,14,21.90,14.03
3,BN,Brian Thomas Jr.,Jax,WR,12,14.70,10.05
3,BN,Jayden Daniels,Was,QB,14,28.16,17.39
3,BN,Blake Corum,LAR,RB,6,–,6.83
3,BN,Darnell Mooney,Atl,WR,12,2.50,8.36
